m,lambda,iter,d_cpdag,time
10,0.06,1,0,0.073288918
10,0.06,2,0,0.097947836
10,0.06,3,0,0.073951006
10,0.06,4,0,0.060646057
10,0.06,5,0,0.110027075
10,0.06,6,0,0.085004091
10,0.06,7,0,0.120935917
10,0.06,8,0,0.08493495
10,0.06,9,0,0.12196207
10,0.06,10,0,0.110515118
20,0.04,1,0,0.515589952
20,0.04,2,0,0.66789484
20,0.04,3,0,0.589310884
20,0.04,4,0,0.511568069
20,0.04,5,0,0.732820988
20,0.04,6,0,0.736504793
20,0.04,7,0,0.588387012
20,0.04,8,0,0.58852005
20,0.04,9,0,0.733790874
20,0.04,10,0,0.811077833
50,0.02,1,0,5.779968977
50,0.02,2,0,7.693802118
50,0.02,3,0,7.7108531
50,0.02,4,0,5.730408907
50,0.02,5,0,11.60214305
50,0.02,6,0,5.746478796
50,0.02,7,0,7.747995138
50,0.02,8,0,9.659734011
50,0.02,9,0,7.699534893
50,0.02,10,0,6.730231047
100,0.01,1,0,103.3033578
100,0.01,2,0,111.255887
100,0.01,3,0,106.631815
100,0.01,4,0,156.1889513
100,0.01,5,0,103.3781841
100,0.01,6,2,119.4997652
100,0.01,7,0,104.7267089
100,0.01,8,0,128.7896678
100,0.01,9,0,105.8964889
100,0.01,10,0,161.5954309
200,0.01,1,0,1208.090425
200,0.01,2,0,1292.098843
200,0.01,3,0,1201.185776
200,0.01,4,0,1119.610836
200,0.01,5,0,1180.08886
200,0.01,6,0,1176.456566
200,0.01,7,0,1181.389847
200,0.01,8,0,1199.681328
200,0.01,9,0,1122.411442
200,0.01,10,0,1204.948745
