method,graph,trial,penalty,fdp,tdp,d_cpdag,union_target_error,fit_seconds,metric_seconds,mip_gap,status,error
mip_profiled,1,6,0.001,0.2222222222222222,0.8571428571428572,3,1,0.25034608831629157,0.0008499780669808388,0.0,ok,
mip_profiled,1,6,0.0025,0.2222222222222222,0.8571428571428572,3,1,0.2073124749585986,0.0008126436732709408,0.0,ok,
mip_profiled,1,6,0.005,0.2222222222222222,0.8571428571428572,3,1,0.20685140881687403,0.0008134488016366959,0.0,ok,
mip_profiled,1,6,0.01,0.2222222222222222,0.8571428571428572,3,1,0.20712986355647445,0.0007990808226168156,0.0,ok,
mip_profiled,1,6,0.02,0.0,0.8571428571428572,1,1,0.2064895099028945,0.000796089880168438,0.0,ok,
mip_profiled,1,6,0.04,0.0,0.8571428571428572,1,1,0.20248064305633307,0.0007854141294956207,0.0,ok,
mip_profiled,1,6,0.08,0.4,0.4285714285714286,6,1,0.1996183106675744,0.00078546442091465,0.0,ok,
mip_profiled,1,6,0.1,0.4,0.4285714285714286,6,1,0.19840559037402272,0.0007857158780097961,0.0,ok,
mip_profiled,1,6,0.16,0.4,0.4285714285714286,6,2,0.19641820900142193,0.0007661157287657261,0.0,ok,
mip_profiled,1,6,0.32,0.6666666666666666,0.1428571428571429,8,3,0.19466014811769128,0.0007626581937074661,0.0,ok,
gnies,1,6,0.005,0.9111111111111111,0.4285714285714286,45,2,31.450542300008237,0.0013277716934680939,,ok,
gnies,1,6,0.01,0.9090909090909091,0.4285714285714286,44,2,29.03019243478775,0.0013111135922372341,,ok,
gnies,1,6,0.03,0.8918918918918919,0.4285714285714286,37,2,25.698931036051363,0.0012531690299510956,,ok,
gnies,1,6,0.1,0.8823529411764706,0.4285714285714286,34,2,20.832195606082678,0.0012279869988560677,,ok,
gnies,1,6,0.3,0.8333333333333334,0.4285714285714286,24,4,10.153721898794174,0.0009126788936555386,,ok,
gnies,1,6,1,0.75,0.4285714285714286,16,4,5.31145435012877,0.000868743285536766,,ok,
gnies,1,6,3,0.6,0.5714285714285714,11,7,1.6301016532815993,0.000943449791520834,,ok,
gnies,1,6,6,0.14285714285714285,1.0,1,8,0.9962199991568923,0.0008524199947714806,,ok,
gnies,1,6,10,0.16666666666666666,0.7142857142857143,3,8,0.8411790952086449,0.0007878150790929794,,ok,
gnies,1,6,30,0.4,0.5714285714285714,4,8,0.6278250543400645,0.0008555022068321705,,ok,
mip_profiled,2,6,0.001,0.4666666666666667,1.0,14,1,2.2965099518187344,0.0015737740322947502,0.0,ok,
mip_profiled,2,6,0.0025,0.4230769230769231,0.9411764705882353,12,1,2.105402803979814,0.0017100549302995205,0.0,ok,
mip_profiled,2,6,0.005,0.15789473684210525,0.9411764705882353,4,1,2.049636632669717,0.0014023669064044952,0.0,ok,
mip_profiled,2,6,0.01,0.058823529411764705,0.9411764705882353,2,1,1.9787173210643232,0.001368710771203041,0.0,ok,
mip_profiled,2,6,0.02,0.058823529411764705,0.9411764705882353,2,1,1.986541022080928,0.0013673040084540844,0.0,ok,
mip_profiled,2,6,0.04,0.0,1.0,0,1,1.9439781941473484,0.001358949113637209,0.0,ok,
