method,graph,trial,penalty,fdp,tdp,d_cpdag,union_target_error,fit_seconds,metric_seconds,mip_gap,status,error
utigsp,1,9,0.001,0.14285714285714285,0.8571428571428572,2,6,0.0725510218180716,0.0006049335934221745,,ok,
utigsp,1,9,0.01,0.14285714285714285,0.7142857142857143,3,6,0.08225300814956427,0.0005848640576004982,,ok,
utigsp,1,9,0.1,0.5,0.7142857142857143,8,4,0.07551103504374623,0.000629698857665062,,ok,
utigsp,1,9,0.2,0.8571428571428571,0.2857142857142857,23,2,0.13418988697230816,0.0007668491452932358,,ok,
utigsp,1,9,1e-05,0.5714285714285714,0.8571428571428572,4,7,0.09223894029855728,0.0009070499800145626,,ok,
utigsp,1,9,1e-07,0.6,0.4285714285714286,6,8,0.08444430818781257,0.0007140357047319412,,ok,
utigsp,1,9,1e-09,0.8,0.4285714285714286,6,8,0.06602949602529407,0.000790352001786232,,ok,
utigsp,2,9,0.001,0.2222222222222222,0.8823529411764706,6,7,0.15313956793397665,0.0010571093298494816,,ok,
utigsp,2,9,0.01,0.2777777777777778,0.8235294117647058,8,5,0.1399792837910354,0.0011188872158527374,,ok,
utigsp,2,9,0.1,0.7291666666666666,0.7647058823529411,39,5,0.19902067026123405,0.0013052662834525108,,ok,
utigsp,2,9,0.2,0.8414634146341463,0.7647058823529411,73,2,0.324330166913569,0.0014487099833786488,,ok,
utigsp,2,9,1e-05,0.3125,0.7647058823529411,9,9,0.19727650098502636,0.0010929880663752556,,ok,
utigsp,2,9,1e-07,0.4375,0.7058823529411764,12,12,0.21802314510568976,0.0012100869789719582,,ok,
utigsp,2,9,1e-09,0.6153846153846154,0.6470588235294117,13,15,0.19967051409184933,0.0024964483454823494,,ok,
utigsp,3,9,0.001,0.2631578947368421,0.8285714285714285,18,9,4.46690952591598,0.0038923919200897217,,ok,
utigsp,3,9,0.01,0.4727272727272727,0.8,33,7,1.73202422587201,0.0033069844357669353,,ok,
utigsp,3,9,0.1,0.9239130434782609,0.5714285714285714,270,8,0.909912982955575,0.004922452848404646,,ok,
utigsp,3,9,0.2,0.9601518026565465,0.5714285714285714,521,8,1.574707549996674,0.006959537044167519,,ok,
utigsp,3,9,1e-05,0.3888888888888889,0.6857142857142857,25,11,0.7120838863775134,0.00341848935931921,,ok,
utigsp,3,9,1e-07,0.4166666666666667,0.6571428571428571,27,17,1.7265208577737212,0.003404890652745962,,ok,
utigsp,3,9,1e-09,0.5294117647058824,0.5428571428571429,34,19,1.6397641766816378,0.0035227490589022636,,ok,
