timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg,aperture,iso,shutter_speed,image_file,image_timestamp,brightness_value
531746.04644975,camera,0.0,-9999.0,1.0,81.0,83.0,6.0,1.0,5.0,78.0,0.0,0.0,1.0,1.0,5.0,5.0,504.0,512.0,18953.0,3640.0,2694.0,391.0,832.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,700.0,1.8,500.0,0.005,1728571066.jpg,1728571066,-5.584375
531747.668455669,camera,1.0,-9999.0,1.0,98.0,90.0,7.0,1.0,5.0,80.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,512.0,22082.0,3972.0,2839.0,480.0,803.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,793.0,1.8,500.0,0.005,1728571067.jpg,1728571067,-0.225
531749.289997534,camera,2.0,-9999.0,1.0,109.0,108.0,8.0,1.0,5.0,90.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,512.0,23355.0,4342.0,3495.0,624.0,1232.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,826.0,1.8,500.0,0.005,1728571069.jpg,1728571069,0.275
531750.912334267,camera,3.0,-9999.0,1.0,156.0,125.0,8.0,1.0,5.0,100.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,512.0,28941.0,5648.0,4609.0,726.0,1517.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1022.0,838.0,1.8,500.0,0.005,1728571071.jpg,1728571071,0.28671875
531752.534190568,camera,4.0,-9999.0,1.0,142.0,114.0,8.0,1.0,5.0,84.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,512.0,29665.0,5260.0,3924.0,619.0,1283.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,843.0,1.8,500.0,0.005,1728571072.jpg,1728571072,0.62265625
531754.155824133,camera,5.0,-9999.0,1.0,67.0,93.0,7.0,1.0,5.0,75.0,0.0,0.0,1.0,1.0,5.0,5.0,504.0,512.0,14720.0,3061.0,2132.0,443.0,718.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,845.0,1.8,500.0,0.005,1728571074.jpg,1728571074,0.62265625
531755.777933579,camera,6.0,-9999.0,1.0,61.0,72.0,8.0,1.0,5.0,70.0,0.0,0.0,1.0,1.0,5.0,5.0,504.0,513.0,9072.0,1977.0,1816.0,326.0,614.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,845.0,1.8,500.0,0.005,1728571075.jpg,1728571075,-0.6234375
531757.399779262,camera,7.0,-9999.0,1.0,98.0,95.0,8.0,1.0,5.0,78.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,512.0,17698.0,3383.0,3424.0,601.0,979.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,846.0,1.8,500.0,0.005,1728571077.jpg,1728571077,-0.62734375
531759.021732739,camera,8.0,-9999.0,1.0,63.0,88.0,9.0,1.0,5.0,79.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,512.0,15310.0,3048.0,2065.0,398.0,581.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,846.0,1.8,500.0,0.005,1728571079.jpg,1728571079,-0.27578125
531760.643692235,camera,9.0,-9999.0,1.0,96.0,82.0,7.0,1.0,5.0,77.0,0.0,0.0,1.0,1.0,5.0,5.0,503.0,512.0,21768.0,3863.0,3197.0,489.0,966.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,845.0,1.8,500.0,0.005,1728571080.jpg,1728571080,-0.271875
