timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg,aperture,iso,shutter_speed,image_file,image_timestamp,brightness_value
789441.23550794,camera,0.0,-9999.0,1.0,89.0,79.0,80.0,1.0,5.0,86.0,0.0,0.0,1.0,1.0,5.0,5.0,509.0,514.0,27837.0,7206.0,2720.0,758.0,1133.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,698.0,1.8,500.0,0.005,1728828757.jpg,1728828757,0.58359375
789442.857514149,camera,1.0,-9999.0,1.0,83.0,77.0,77.0,1.0,5.0,87.0,0.0,0.0,1.0,1.0,5.0,5.0,509.0,514.0,23928.0,5859.0,3022.0,883.0,875.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,789.0,1.8,500.0,0.005,1728828758.jpg,1728828758,0.33359375
789444.479461222,camera,2.0,-9999.0,1.0,106.0,101.0,99.0,1.0,5.0,96.0,0.0,0.0,1.0,1.0,5.0,5.0,509.0,514.0,28053.0,7593.0,3510.0,965.0,1238.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,821.0,1.8,500.0,0.005,1728828760.jpg,1728828760,0.70859375
789446.101165162,camera,3.0,-9999.0,1.0,125.0,102.0,103.0,1.0,5.0,95.0,0.0,0.0,1.0,1.0,5.0,5.0,509.0,514.0,32505.0,7060.0,4138.0,1320.0,1343.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,833.0,1.8,500.0,0.005,1728828762.jpg,1728828762,0.7203125
789447.723778765,camera,4.0,-9999.0,1.0,86.0,94.0,96.0,1.0,5.0,96.0,0.0,0.0,1.0,1.0,5.0,5.0,509.0,514.0,25214.0,6732.0,3258.0,790.0,1198.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1022.0,838.0,1.8,500.0,0.005,1728828763.jpg,1728828763,0.62265625
789449.344925252,camera,5.0,-9999.0,1.0,75.0,85.0,86.0,1.0,5.0,96.0,0.0,0.0,1.0,1.0,5.0,5.0,509.0,514.0,20914.0,6301.0,3411.0,992.0,1030.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,839.0,1.8,500.0,0.005,1728828765.jpg,1728828765,0.5796875
789450.966804864,camera,6.0,-9999.0,1.0,69.0,87.0,89.0,1.0,5.0,90.0,0.0,0.0,1.0,1.0,5.0,5.0,509.0,514.0,22903.0,7049.0,3266.0,1016.0,917.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1022.0,841.0,1.8,500.0,0.005,1728828766.jpg,1728828766,0.384375
789452.588895393,camera,7.0,-9999.0,1.0,106.0,95.0,95.0,1.0,5.0,93.0,0.0,0.0,1.0,1.0,5.0,5.0,509.0,514.0,29727.0,8821.0,4182.0,1089.0,1271.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,841.0,1.8,500.0,0.005,1728828768.jpg,1728828768,0.5953125
789454.210774226,camera,8.0,-9999.0,1.0,120.0,103.0,101.0,1.0,5.0,94.0,0.0,0.0,1.0,1.0,5.0,5.0,509.0,515.0,31416.0,8137.0,4408.0,1071.0,1127.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,841.0,1.8,500.0,0.005,1728828770.jpg,1728828770,0.63046875
789455.832935063,camera,9.0,-9999.0,1.0,141.0,125.0,124.0,1.0,5.0,109.0,0.0,0.0,1.0,1.0,5.0,5.0,509.0,514.0,38928.0,9500.0,5103.0,1517.0,1716.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,840.0,1.8,500.0,0.005,1728828771.jpg,1728828771,1.103125
