timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg,aperture,iso,shutter_speed,image_file,image_timestamp,brightness_value
715246.184113902,camera,0.0,-9999.0,1.0,76.0,44.0,123.0,1.0,5.0,92.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,510.0,21553.0,7604.0,2999.0,1052.0,860.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,698.0,1.8,500.0,0.005,1728754562.jpg,1728754562,1.12265625
715247.805954177,camera,1.0,-9999.0,1.0,106.0,31.0,118.0,1.0,5.0,90.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,510.0,22773.0,7010.0,3063.0,978.0,979.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,788.0,1.8,500.0,0.005,1728754563.jpg,1728754563,0.99375
715249.427838699,camera,2.0,-9999.0,1.0,135.0,37.0,18.0,1.0,5.0,80.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,510.0,21557.0,2765.0,3168.0,423.0,929.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,822.0,1.8,500.0,0.005,1728754565.jpg,1728754565,0.05625
715251.049885056,camera,3.0,-9999.0,1.0,125.0,37.0,133.0,1.0,5.0,113.0,0.0,0.0,1.0,1.0,5.0,5.0,504.0,510.0,22562.0,7220.0,4122.0,1243.0,1184.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,833.0,1.8,500.0,0.005,1728754567.jpg,1728754567,1.09140625
715252.671802254,camera,4.0,-9999.0,1.0,111.0,35.0,125.0,1.0,5.0,103.0,0.0,0.0,1.0,1.0,5.0,5.0,503.0,510.0,20929.0,6409.0,3930.0,1227.0,950.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1022.0,838.0,1.8,500.0,0.005,1728754568.jpg,1728754568,1.0875
715254.293714583,camera,5.0,-9999.0,1.0,73.0,35.0,103.0,1.0,5.0,85.0,0.0,0.0,1.0,1.0,5.0,5.0,504.0,510.0,18254.0,5589.0,2464.0,786.0,730.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,839.0,1.8,500.0,0.005,1728754570.jpg,1728754570,0.66953125
715255.915510958,camera,6.0,-9999.0,1.0,71.0,31.0,129.0,1.0,5.0,89.0,0.0,0.0,1.0,1.0,5.0,5.0,504.0,510.0,17101.0,7040.0,2769.0,1076.0,775.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,841.0,1.8,500.0,0.005,1728754571.jpg,1728754571,0.67734375
715257.53807304,camera,7.0,-9999.0,1.0,119.0,49.0,69.0,1.0,5.0,86.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,510.0,21471.0,4699.0,3373.0,732.0,766.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,840.0,1.8,500.0,0.005,1728754573.jpg,1728754573,0.1890625
715259.159247391,camera,8.0,-9999.0,1.0,67.0,36.0,102.0,1.0,5.0,88.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,510.0,16639.0,5327.0,2184.0,792.0,731.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1022.0,841.0,1.8,500.0,0.005,1728754575.jpg,1728754575,0.1890625
715260.780996768,camera,9.0,-9999.0,1.0,135.0,39.0,22.0,1.0,5.0,79.0,0.0,0.0,1.0,1.0,5.0,5.0,504.0,510.0,22633.0,3222.0,2846.0,380.0,978.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1022.0,841.0,1.8,500.0,0.005,1728754576.jpg,1728754576,0.06015625
715262.402865991,camera,10.0,-9999.0,1.0,67.0,47.0,113.0,1.0,5.0,87.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,510.0,16996.0,5728.0,2483.0,974.0,806.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,841.0,1.8,500.0,0.005,1728754578.jpg,1728754578,0.07578125
715264.024914518,camera,11.0,-9999.0,1.0,45.0,38.0,99.0,1.0,5.0,81.0,0.0,0.0,1.0,1.0,5.0,5.0,505.0,510.0,14508.0,6085.0,1469.0,685.0,636.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,841.0,1.8,500.0,0.005,1728754580.jpg,1728754580,0.59921875
715265.646711865,camera,12.0,-9999.0,1.0,123.0,50.0,71.0,1.0,5.0,87.0,0.0,0.0,1.0,1.0,5.0,5.0,504.0,510.0,25231.0,5345.0,3578.0,794.0,1026.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1023.0,841.0,1.8,500.0,0.005,1728754581.jpg,1728754581,0.6265625
