configuration,method,job_index,setting_index,setting_id,tuning_value,status,elapsed_seconds,directed_tp,directed_fp,directed_fn,directed_tn,directed_tpr,directed_fpr,skeleton_tp,skeleton_fp,skeleton_fn,skeleton_tn,skeleton_tpr,skeleton_fpr,ambiguous_undirected_edges,directed_tp_ambiguous_in_returned_graph,directed_fp_ambiguous_in_returned_graph,physical_directed_tp,physical_skeleton_tp,physical_reversed,programmed_directed_tp,programmed_skeleton_tp,programmed_reversed,estimated_target_count,objective_value,objective_bound,mip_gap,solver_status,optimal
scm_4,ps_mip_complete,0,0,graph_00_target_fixed16,0.0625,ok_nonoptimal,3607.9919716035947,23,14,0,53,1.0,0.208955223880597,23,14,0,8,1.0,0.6363636363636364,3,0,3,21,21,0,2,2,0,3,-7.368862317463593,-7.745284036244356,0.05108274555336369,time_limit,False
scm_4,ps_mip_complete,1,1,graph_01_target_fixed16,0.08838834764831845,ok,3468.534010728821,23,13,0,54,1.0,0.19402985074626866,23,13,0,9,1.0,0.5909090909090909,0,0,0,21,21,0,2,2,0,3,-7.368623750554407,-7.369305473656604,9.25170188185614e-05,optimal,True
scm_4,ps_mip_complete,2,2,graph_02_target_fixed16,0.125,ok,1819.2089003603905,23,13,0,54,1.0,0.19402985074626866,23,13,0,9,1.0,0.5909090909090909,0,0,0,21,21,0,2,2,0,3,-7.368274586278156,-7.368756003911514,6.533654897367534e-05,optimal,True
scm_4,ps_mip_complete,3,3,graph_03_target_fixed16,0.1767766952966369,ok_nonoptimal,3609.417502934113,23,13,0,54,1.0,0.19402985074626866,23,13,0,9,1.0,0.5909090909090909,0,0,0,21,21,0,2,2,0,3,-7.367780793423185,-7.807291480220216,0.059653062315501874,time_limit,False
scm_4,ps_mip_complete,4,4,graph_04_target_fixed16,0.25,ok_nonoptimal,3606.581577790901,23,13,0,54,1.0,0.19402985074626866,23,13,0,9,1.0,0.5909090909090909,0,0,0,21,21,0,2,2,0,3,-7.367082464870683,-7.738086414644675,0.050359684657134376,time_limit,False
scm_4,ps_mip_complete,5,5,graph_05_target_fixed16,0.3535533905932738,ok,2079.5481985444203,23,11,0,56,1.0,0.16417910447761194,23,11,0,11,1.0,0.5,0,0,0,21,21,0,2,2,0,3,-7.366131171877206,-7.366131171877207,0.0,optimal,True
scm_4,ps_mip_complete,6,6,graph_06_target_fixed16,0.5,ok_nonoptimal,3604.200102357194,23,10,0,57,1.0,0.14925373134328357,23,10,0,12,1.0,0.45454545454545453,0,0,0,21,21,0,2,2,0,3,-7.364828761684713,-7.513013449056732,0.020120588294319283,time_limit,False
scm_4,ps_mip_complete,7,7,graph_07_target_fixed16,0.7071067811865476,ok,1273.3538994481787,23,10,0,57,1.0,0.14925373134328357,23,10,0,12,1.0,0.45454545454545453,0,0,0,21,21,0,2,2,0,3,-7.363018187883153,-7.363018187883153,0.0,optimal,True
scm_4,ps_mip_complete,8,8,graph_08_target_fixed16,1.0,ok,3332.6889629513025,23,9,0,58,1.0,0.13432835820895522,23,9,0,13,1.0,0.4090909090909091,0,0,0,21,21,0,2,2,0,3,-7.3604697092035805,-7.3604697092035805,0.0,optimal,True
scm_4,ps_mip_complete,9,9,graph_09_target_fixed16,1.4142135623730951,ok_nonoptimal,3606.0878908690065,23,8,0,59,1.0,0.11940298507462686,23,8,0,14,1.0,0.36363636363636365,2,0,2,21,21,0,2,2,0,3,-7.357043415427091,-7.527875477338707,0.02322020576273832,time_limit,False
