p,e,replicate,method,successful_settings,expected_settings,missing_settings,complete_grid
10,1,1,dcdi_g_oracle,0,3,"[""g0p01"", ""g0p1"", ""g1""]",False
10,1,1,dcdi_g_unknown,0,5,"[""g0p01_t0p001"", ""g0p1_t0p0001"", ""g0p1_t0p001"", ""g0p1_t0p01"", ""g1_t0p001""]",False
10,1,1,gies_oracle,5,5,[],True
10,1,1,gnies_unknown,5,5,[],True
10,1,1,igsp_oracle,5,5,[],True
10,1,1,ps_mip_oracle,3,3,[],True
10,1,1,ps_mip_unknown,3,3,[],True
10,1,1,utigsp_unknown,5,5,[],True
10,1,2,dcdi_g_oracle,0,3,"[""g0p01"", ""g0p1"", ""g1""]",False
10,1,2,dcdi_g_unknown,0,5,"[""g0p01_t0p001"", ""g0p1_t0p0001"", ""g0p1_t0p001"", ""g0p1_t0p01"", ""g1_t0p001""]",False
10,1,2,gies_oracle,5,5,[],True
10,1,2,gnies_unknown,5,5,[],True
10,1,2,igsp_oracle,5,5,[],True
10,1,2,ps_mip_oracle,3,3,[],True
10,1,2,ps_mip_unknown,3,3,[],True
10,1,2,utigsp_unknown,5,5,[],True
10,1,3,dcdi_g_oracle,0,3,"[""g0p01"", ""g0p1"", ""g1""]",False
10,1,3,dcdi_g_unknown,0,5,"[""g0p01_t0p001"", ""g0p1_t0p0001"", ""g0p1_t0p001"", ""g0p1_t0p01"", ""g1_t0p001""]",False
10,1,3,gies_oracle,5,5,[],True
10,1,3,gnies_unknown,5,5,[],True
10,1,3,igsp_oracle,5,5,[],True
10,1,3,ps_mip_oracle,3,3,[],True
10,1,3,ps_mip_unknown,3,3,[],True
10,1,3,utigsp_unknown,5,5,[],True
10,1,4,dcdi_g_oracle,0,3,"[""g0p01"", ""g0p1"", ""g1""]",False
10,1,4,dcdi_g_unknown,0,5,"[""g0p01_t0p001"", ""g0p1_t0p0001"", ""g0p1_t0p001"", ""g0p1_t0p01"", ""g1_t0p001""]",False
10,1,4,gies_oracle,5,5,[],True
10,1,4,gnies_unknown,5,5,[],True
10,1,4,igsp_oracle,5,5,[],True
10,1,4,ps_mip_oracle,3,3,[],True
10,1,4,ps_mip_unknown,3,3,[],True
10,1,4,utigsp_unknown,5,5,[],True
10,1,5,dcdi_g_oracle,0,3,"[""g0p01"", ""g0p1"", ""g1""]",False
10,1,5,dcdi_g_unknown,0,5,"[""g0p01_t0p001"", ""g0p1_t0p0001"", ""g0p1_t0p001"", ""g0p1_t0p01"", ""g1_t0p001""]",False
10,1,5,gies_oracle,5,5,[],True
10,1,5,gnies_unknown,5,5,[],True
10,1,5,igsp_oracle,5,5,[],True
10,1,5,ps_mip_oracle,3,3,[],True
10,1,5,ps_mip_unknown,3,3,[],True
10,1,5,utigsp_unknown,5,5,[],True
10,1,6,dcdi_g_oracle,0,3,"[""g0p01"", ""g0p1"", ""g1""]",False
10,1,6,dcdi_g_unknown,0,5,"[""g0p01_t0p001"", ""g0p1_t0p0001"", ""g0p1_t0p001"", ""g0p1_t0p01"", ""g1_t0p001""]",False
10,1,6,gies_oracle,5,5,[],True
10,1,6,gnies_unknown,5,5,[],True
