p,e,replicate,method,setting_id
10,1,1,bacadi_unknown,official_repo_default_joint
10,1,2,bacadi_unknown,official_repo_default_joint
10,1,3,bacadi_unknown,official_repo_default_joint
10,1,4,bacadi_unknown,official_repo_default_joint
10,1,5,bacadi_unknown,official_repo_default_joint
10,1,6,bacadi_unknown,official_repo_default_joint
10,1,7,bacadi_unknown,official_repo_default_joint
10,1,8,bacadi_unknown,official_repo_default_joint
10,1,9,bacadi_unknown,official_repo_default_joint
10,1,10,bacadi_unknown,official_repo_default_joint
10,2,1,bacadi_unknown,official_repo_default_joint
10,2,2,bacadi_unknown,official_repo_default_joint
10,2,3,bacadi_unknown,official_repo_default_joint
10,2,4,bacadi_unknown,official_repo_default_joint
10,2,5,bacadi_unknown,official_repo_default_joint
10,2,6,bacadi_unknown,official_repo_default_joint
10,2,7,bacadi_unknown,official_repo_default_joint
10,2,8,bacadi_unknown,official_repo_default_joint
10,2,9,bacadi_unknown,official_repo_default_joint
10,2,10,bacadi_unknown,official_repo_default_joint
20,1,1,bacadi_unknown,official_repo_default_joint
20,1,2,bacadi_unknown,official_repo_default_joint
20,1,3,bacadi_unknown,official_repo_default_joint
20,1,4,bacadi_unknown,official_repo_default_joint
20,1,5,bacadi_unknown,official_repo_default_joint
20,1,6,bacadi_unknown,official_repo_default_joint
20,1,7,bacadi_unknown,official_repo_default_joint
20,1,8,bacadi_unknown,official_repo_default_joint
20,1,9,bacadi_unknown,official_repo_default_joint
20,1,10,bacadi_unknown,official_repo_default_joint
20,2,1,bacadi_unknown,official_repo_default_joint
20,2,2,bacadi_unknown,official_repo_default_joint
20,2,3,bacadi_unknown,official_repo_default_joint
20,2,4,bacadi_unknown,official_repo_default_joint
20,2,5,bacadi_unknown,official_repo_default_joint
20,2,6,bacadi_unknown,official_repo_default_joint
20,2,7,bacadi_unknown,official_repo_default_joint
20,2,8,bacadi_unknown,official_repo_default_joint
20,2,9,bacadi_unknown,official_repo_default_joint
20,2,10,bacadi_unknown,official_repo_default_joint
30,1,1,bacadi_unknown,official_repo_default_joint
30,1,2,bacadi_unknown,official_repo_default_joint
30,1,3,bacadi_unknown,official_repo_default_joint
30,1,4,bacadi_unknown,official_repo_default_joint
30,1,5,bacadi_unknown,official_repo_default_joint
30,1,6,bacadi_unknown,official_repo_default_joint
30,1,7,bacadi_unknown,official_repo_default_joint
30,1,8,bacadi_unknown,official_repo_default_joint
30,1,9,bacadi_unknown,official_repo_default_joint
30,1,10,bacadi_unknown,official_repo_default_joint
30,2,1,bacadi_unknown,official_repo_default_joint
30,2,1,gnies_unknown,bic_x1
30,2,1,gnies_unknown,bic_x2
30,2,1,gnies_unknown,bic_x4
30,2,1,ps_mip_oracle,g0p5
30,2,1,ps_mip_oracle,g1
30,2,1,ps_mip_oracle,g2
30,2,2,bacadi_unknown,official_repo_default_joint
30,2,2,gnies_unknown,bic_x0p5
30,2,2,gnies_unknown,bic_x1
30,2,2,gnies_unknown,bic_x2
30,2,2,gnies_unknown,bic_x4
30,2,3,bacadi_unknown,official_repo_default_joint
30,2,3,gnies_unknown,bic_x0p5
30,2,3,gnies_unknown,bic_x1
30,2,3,gnies_unknown,bic_x2
30,2,3,gnies_unknown,bic_x4
30,2,4,bacadi_unknown,official_repo_default_joint
30,2,4,gnies_unknown,bic_x0p25
30,2,4,gnies_unknown,bic_x0p5
30,2,4,gnies_unknown,bic_x1
30,2,4,gnies_unknown,bic_x2
30,2,4,gnies_unknown,bic_x4
30,2,5,bacadi_unknown,official_repo_default_joint
30,2,5,gnies_unknown,bic_x0p25
30,2,5,gnies_unknown,bic_x0p5
30,2,5,gnies_unknown,bic_x1
30,2,5,gnies_unknown,bic_x2
30,2,5,gnies_unknown,bic_x4
30,2,6,ps_mip_unknown,bic_x0p5
30,2,6,ps_mip_unknown,bic_x1
30,2,6,ps_mip_unknown,bic_x2
30,2,6,bacadi_unknown,official_repo_default_joint
30,2,6,gnies_unknown,bic_x0p25
30,2,6,gnies_unknown,bic_x0p5
30,2,6,gnies_unknown,bic_x1
30,2,6,gnies_unknown,bic_x2
30,2,6,gnies_unknown,bic_x4
30,2,6,ps_mip_oracle,g0p5
30,2,6,ps_mip_oracle,g1
30,2,6,ps_mip_oracle,g2
30,2,7,bacadi_unknown,official_repo_default_joint
30,2,7,gnies_unknown,bic_x1
30,2,7,gnies_unknown,bic_x2
30,2,7,gnies_unknown,bic_x4
30,2,8,ps_mip_unknown,bic_x2
30,2,8,bacadi_unknown,official_repo_default_joint
30,2,8,gnies_unknown,bic_x1
30,2,8,gnies_unknown,bic_x2
30,2,8,gnies_unknown,bic_x4
30,2,8,ps_mip_oracle,g1
30,2,8,ps_mip_oracle,g2
30,2,9,bacadi_unknown,official_repo_default_joint
30,2,9,gnies_unknown,bic_x1
30,2,9,gnies_unknown,bic_x2
30,2,9,gnies_unknown,bic_x4
30,2,10,bacadi_unknown,official_repo_default_joint
30,2,10,gnies_unknown,bic_x0p25
30,2,10,gnies_unknown,bic_x0p5
30,2,10,gnies_unknown,bic_x1
30,2,10,gnies_unknown,bic_x2
30,2,10,gnies_unknown,bic_x4
