p,e,replicate,n_screen,screen_alpha,true_directed_edges,true_directed_edges_retained,true_directed_edge_recall,true_moral_edges,true_moral_edges_retained,true_moral_edge_recall,screen_edges,screen_parent_sets,screen_warning_count,screen_warning_messages
10,1,1,1000,0.04798525912188081,6,6,1.0,6,6,1.0,16,140,0,
10,1,2,1000,0.04798525912188081,7,7,1.0,10,10,1.0,17,173,0,
10,1,3,1000,0.04798525912188081,9,8,0.8888888888888888,11,10,0.9090909090909091,24,428,0,
10,1,4,1000,0.04798525912188081,8,8,1.0,10,10,1.0,18,281,0,
10,1,5,1000,0.04798525912188081,12,11,0.9166666666666666,19,14,0.7368421052631579,23,338,0,
10,1,6,1000,0.04798525912188081,13,13,1.0,18,16,0.8888888888888888,24,691,0,
10,1,7,1000,0.04798525912188081,11,11,1.0,17,17,1.0,22,436,0,
10,1,8,1000,0.04798525912188081,8,8,1.0,14,14,1.0,21,340,0,
10,1,9,1000,0.04798525912188081,15,14,0.9333333333333333,20,19,0.95,32,1168,0,
10,1,10,1000,0.04798525912188081,12,12,1.0,16,15,0.9375,24,410,0,
10,2,1,1000,0.04798525912188081,17,17,1.0,25,23,0.92,34,1280,0,
10,2,2,1000,0.04798525912188081,25,22,0.88,36,28,0.7777777777777778,30,872,0,
10,2,3,1000,0.04798525912188081,18,17,0.9444444444444444,31,25,0.8064516129032258,33,1280,1,graphical_lasso: did not converge after 100 iteration: dual gap: 4.157e-04
10,2,4,1000,0.04798525912188081,23,20,0.8695652173913043,34,26,0.7647058823529411,35,1504,0,
10,2,5,1000,0.04798525912188081,17,17,1.0,26,21,0.8076923076923077,32,1024,0,
10,2,6,1000,0.04798525912188081,23,19,0.8260869565217391,34,27,0.7941176470588235,32,1072,1,graphical_lasso: did not converge after 100 iteration: dual gap: 1.052e-03
10,2,7,1000,0.04798525912188081,23,22,0.9565217391304348,33,31,0.9393939393939394,38,2368,0,
10,2,8,1000,0.04798525912188081,17,15,0.8823529411764706,34,25,0.7352941176470589,28,632,1,graphical_lasso: did not converge after 100 iteration: dual gap: 6.209e-04
10,2,9,1000,0.04798525912188081,14,14,1.0,21,18,0.8571428571428571,25,392,0,
10,2,10,1000,0.04798525912188081,21,19,0.9047619047619048,32,26,0.8125,32,992,0,
20,1,1,1000,0.054733283051119734,19,19,1.0,24,24,1.0,50,1995,0,
20,1,2,1000,0.054733283051119734,11,11,1.0,15,15,1.0,37,562,0,
20,1,3,1000,0.054733283051119734,14,14,1.0,18,18,1.0,36,661,0,
20,1,4,1000,0.054733283051119734,17,17,1.0,25,24,0.96,46,1108,0,
20,1,5,1000,0.054733283051119734,26,25,0.9615384615384616,38,35,0.9210526315789473,62,7170,0,
20,1,6,1000,0.054733283051119734,22,22,1.0,46,36,0.782608695652174,56,3463,0,
20,1,7,1000,0.054733283051119734,27,27,1.0,50,43,0.86,70,11768,0,
20,1,8,1000,0.054733283051119734,13,13,1.0,16,15,0.9375,33,387,0,
20,1,9,1000,0.054733283051119734,15,15,1.0,20,20,1.0,46,3907,0,
20,1,10,1000,0.054733283051119734,22,21,0.9545454545454546,33,32,0.9696969696969697,69,7324,1,graphical_lasso: did not converge after 100 iteration: dual gap: -4.181e-04
20,2,1,1000,0.054733283051119734,36,35,0.9722222222222222,58,48,0.8275862068965517,85,24296,0,
20,2,2,1000,0.054733283051119734,37,36,0.972972972972973,66,59,0.8939393939393939,97,66912,0,
20,2,3,1000,0.054733283051119734,45,42,0.9333333333333333,81,60,0.7407407407407407,95,49888,0,
20,2,4,1000,0.054733283051119734,53,47,0.8867924528301887,102,70,0.6862745098039216,107,87552,1,graphical_lasso: did not converge after 100 iteration: dual gap: -1.167e-03
20,2,5,1000,0.054733283051119734,38,37,0.9736842105263158,74,53,0.7162162162162162,89,23504,0,
20,2,6,1000,0.054733283051119734,39,37,0.9487179487179487,63,47,0.746031746031746,76,20613,1,graphical_lasso: did not converge after 100 iteration: dual gap: -7.639e-04
20,2,7,1000,0.054733283051119734,30,29,0.9666666666666667,62,53,0.8548387096774194,71,13233,0,
20,2,8,1000,0.054733283051119734,38,36,0.9473684210526315,61,50,0.819672131147541,91,39944,0,
20,2,9,1000,0.054733283051119734,41,38,0.926829268292683,69,58,0.8405797101449275,98,39808,0,
20,2,10,1000,0.054733283051119734,42,42,1.0,81,60,0.7407407407407407,94,40065,0,
30,1,1,1000,0.05831978550768303,31,31,1.0,57,52,0.9122807017543859,95,45540,0,
30,1,2,1000,0.05831978550768303,31,31,1.0,51,49,0.9607843137254902,88,5384,0,
30,1,3,1000,0.05831978550768303,36,36,1.0,62,54,0.8709677419354839,91,11885,0,
30,1,4,1000,0.05831978550768303,33,32,0.9696969696969697,48,44,0.9166666666666666,78,3333,0,
30,1,5,1000,0.05831978550768303,28,28,1.0,46,45,0.9782608695652174,95,10408,0,
30,1,6,1000,0.05831978550768303,29,29,1.0,43,41,0.9534883720930233,82,6410,0,
30,1,7,1000,0.05831978550768303,34,34,1.0,52,50,0.9615384615384616,99,80762,0,
30,1,8,1000,0.05831978550768303,28,28,1.0,44,41,0.9318181818181818,68,2706,0,
30,1,9,1000,0.05831978550768303,35,34,0.9714285714285714,56,55,0.9821428571428571,92,6542,0,
30,1,10,1000,0.05831978550768303,33,33,1.0,55,51,0.9272727272727272,90,16461,0,
30,2,1,1000,0.05831978550768303,63,60,0.9523809523809523,114,94,0.8245614035087719,191,2058912,0,
30,2,2,1000,0.05831978550768303,53,53,1.0,104,85,0.8173076923076923,151,460900,0,
30,2,3,1000,0.05831978550768303,69,63,0.9130434782608695,159,99,0.6226415094339622,173,634068,0,
30,2,4,1000,0.05831978550768303,67,63,0.9402985074626866,131,89,0.6793893129770993,159,360297,1,graphical_lasso: did not converge after 100 iteration: dual gap: 3.591e-03
30,2,5,1000,0.05831978550768303,57,55,0.9649122807017544,102,73,0.7156862745098039,154,309026,1,graphical_lasso: did not converge after 100 iteration: dual gap: -5.889e-03
30,2,6,1000,0.05831978550768303,67,64,0.9552238805970149,120,89,0.7416666666666667,183,3064768,0,
30,2,7,1000,0.05831978550768303,61,58,0.9508196721311475,126,90,0.7142857142857143,158,176900,0,
30,2,8,1000,0.05831978550768303,67,62,0.9253731343283582,130,99,0.7615384615384615,188,1906434,0,
30,2,9,1000,0.05831978550768303,58,57,0.9827586206896551,113,91,0.8053097345132744,165,248300,0,
30,2,10,1000,0.05831978550768303,47,47,1.0,91,82,0.9010989010989011,150,686442,0,
