p,e,method,target_setting,setting_id,tuning_parameter,tuning_value,graph_penalty,target_penalty,replicates,target_hamming_replicates,target_hamming_decisions,target_hamming_mean,target_hamming_std,target_hamming_rate_mean,target_hamming_rate_std,union_target_decisions,union_target_error_replicates,union_target_error_mean,union_target_error_std,union_target_error_rate_mean,union_target_error_rate_std,replicates_planned,complete_replicates
10,1,gnies_unknown,unknown,bic_x0p25,bic_multiplier,0.25,0.9501128074427604,,10,0,50,,,,,10,10,1.5,1.509230856356236,0.15,0.15092308563562362,10,True
10,1,gnies_unknown,unknown,bic_x0p5,bic_multiplier,0.5,1.9002256148855208,,10,0,50,,,,,10,10,1.8,1.3984117975602022,0.18,0.13984117975602023,10,True
10,1,gnies_unknown,unknown,bic_x1,bic_multiplier,1.0,3.800451229771041,,10,0,50,,,,,10,10,2.3,1.1595018087284057,0.22999999999999998,0.11595018087284058,10,True
10,1,gnies_unknown,unknown,bic_x2,bic_multiplier,2.0,7.600902459542082,,10,0,50,,,,,10,10,3.4,1.505545305418162,0.33999999999999997,0.1505545305418162,10,True
10,1,gnies_unknown,unknown,bic_x4,bic_multiplier,4.0,15.201804919084164,,10,0,50,,,,,10,10,5.4,1.429840705968481,0.54,0.14298407059684812,10,True
10,1,ps_mip_unknown,unknown,bic_x0p5,tied_bic_multiplier,0.5,0.0019002256148855,0.0019002256148855,10,10,50,3.0,2.403700850309326,0.06,0.04807401700618653,10,10,0.6,0.8432740427115679,0.06000000000000001,0.0843274042711568,10,True
10,1,ps_mip_unknown,unknown,bic_x1,tied_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,10,50,3.1,2.4698178070456938,0.062,0.04939635614091387,10,10,1.0,1.0540925533894598,0.1,0.10540925533894599,10,True
10,1,ps_mip_unknown,unknown,bic_x2,tied_bic_multiplier,2.0,0.007600902459542,0.007600902459542,10,10,50,3.3,2.584139659108574,0.066,0.05168279318217148,10,10,1.1,1.1972189997378646,0.11000000000000001,0.11972189997378647,10,True
10,1,utigsp_unknown,unknown,alpha_1em05,alpha=alpha_inv,1e-05,,,10,10,50,4.9,2.183269719175042,0.098,0.04366539438350084,10,10,1.8,0.6324555320336759,0.18,0.06324555320336758,10,True
10,1,utigsp_unknown,unknown,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,10,50,4.6,1.8973665961010275,0.092,0.03794733192202055,10,10,1.6,0.6992058987801011,0.16,0.06992058987801011,10,True
10,1,utigsp_unknown,unknown,alpha_0p001,alpha=alpha_inv,0.001,,,10,10,50,3.4,2.2705848487901865,0.068,0.045411696975803745,10,10,1.3,0.8232726023485646,0.13,0.08232726023485645,10,True
10,1,utigsp_unknown,unknown,alpha_0p01,alpha=alpha_inv,0.01,,,10,10,50,3.6,2.5473297566057065,0.072,0.050946595132114136,10,10,1.4,1.07496769977314,0.13999999999999999,0.107496769977314,10,True
10,1,utigsp_unknown,unknown,alpha_0p05,alpha=alpha_inv,0.05,,,10,10,50,4.6,2.590581230363393,0.092,0.05181162460726787,10,10,1.3,1.2516655570345725,0.13,0.12516655570345725,10,True
20,1,gnies_unknown,unknown,bic_x0p25,bic_multiplier,0.25,0.9501128074427604,,8,0,100,,,,,20,8,2.75,1.6690459207925603,0.1375,0.08345229603962802,10,False
20,1,gnies_unknown,unknown,bic_x0p5,bic_multiplier,0.5,1.9002256148855208,,10,0,100,,,,,20,10,3.7,1.7669811040931427,0.185,0.08834905520465715,10,True
20,1,gnies_unknown,unknown,bic_x1,bic_multiplier,1.0,3.800451229771041,,10,0,100,,,,,20,10,4.9,1.728840330651992,0.24499999999999997,0.0864420165325996,10,True
20,1,gnies_unknown,unknown,bic_x2,bic_multiplier,2.0,7.600902459542082,,10,0,100,,,,,20,10,8.9,2.766867462592951,0.445,0.1383433731296476,10,True
