p,e,method,target_setting,setting_id,tuning_parameter,tuning_value,graph_penalty,target_penalty,replicates,target_tpr_mean,target_tpr_std,target_fpr_mean,target_fpr_std,target_true_positives_mean,target_false_positives_mean,target_true_negatives_mean,target_false_negatives_mean,optimal_rate,replicates_planned,complete_replicates,common_replicate_ids,contains_nonoptimal_incumbents,comparison_population
10,1,ps_mip_unknown,unknown,bic_x0p5,tied_bic_multiplier,0.5,0.0019002256148855,0.0019002256148855,10,0.913660086043987,0.07417198043237078,0.05013912981098743,0.061553327320775376,13.7,1.6,33.3,1.4,1.0,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
10,1,ps_mip_unknown,unknown,bic_x1,tied_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,0.8618651575462721,0.09009251687536181,0.02563791418073954,0.042136069447608546,12.8,0.8,34.1,2.3,1.0,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
10,1,ps_mip_unknown,unknown,bic_x2,tied_bic_multiplier,2.0,0.007600902459542,0.007600902459542,10,0.8417671183305858,0.10725014298773082,0.02241210772912664,0.042802457246292586,12.5,0.7,34.2,2.6,1.0,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
10,1,utigsp_unknown,unknown,alpha_1em05,alpha=alpha_inv,1e-05,,,10,0.7663057376060471,0.09509792555864542,0.03626758822297725,0.04651080178590988,11.5,1.3,33.6,3.6,,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
10,1,utigsp_unknown,unknown,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,0.7857845817752939,0.07252274858130141,0.03626758822297725,0.04651080178590988,11.8,1.3,33.6,3.3,,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
10,1,utigsp_unknown,unknown,alpha_0p001,alpha=alpha_inv,0.001,,,10,0.8263974776513476,0.09478008753379519,0.018900367629950204,0.04047756216629526,12.4,0.7,34.2,2.7,,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
10,1,utigsp_unknown,unknown,alpha_0p01,alpha=alpha_inv,0.01,,,10,0.8339732352271053,0.08749367852346691,0.02739349730729041,0.04692216964671351,12.5,1.0,33.9,2.6,,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
10,1,utigsp_unknown,unknown,alpha_0p05,alpha=alpha_inv,0.05,,,10,0.884450698939863,0.09506235154233056,0.07832582568444052,0.049089770567092884,13.3,2.8,32.1,1.8,,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
20,1,ps_mip_unknown,unknown,bic_x0p5,tied_bic_multiplier,0.5,0.0019002256148855,0.0019002256148855,10,0.8972081695443764,0.07862431405617998,0.03728823467071799,0.027079884403003185,24.6,2.6,69.9,2.9,1.0,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
20,1,ps_mip_unknown,unknown,bic_x1,tied_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,0.848915721251928,0.08186950501443348,0.012484327132808861,0.021948469538505197,23.3,0.8,71.7,4.2,1.0,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
20,1,ps_mip_unknown,unknown,bic_x2,tied_bic_multiplier,2.0,0.007600902459542,0.007600902459542,10,0.8057074480436549,0.08001804338163959,0.008229885057471265,0.021747823047010874,22.1,0.5,72.0,5.4,1.0,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
20,1,utigsp_unknown,unknown,alpha_1em05,alpha=alpha_inv,1e-05,,,10,0.7179853087525501,0.10445862857378062,0.006915854098952691,0.01782647403216024,20.1,0.5,72.0,7.4,,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
20,1,utigsp_unknown,unknown,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,0.7442574347746762,0.10302178138642197,0.013536596540590654,0.02510751203805034,20.7,1.0,71.5,6.8,,10,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",False,common_replicates_across_methods_and_all_target_settings
