method,graph,trial,penalty,fdp,tdp,d_cpdag,union_target_error,fit_seconds,metric_seconds,mip_gap,status,error
mip_profiled,1,5,0.001,0.6,0.5714285714285714,9,1,0.40517254592850804,0.0009075570851564407,0.0,ok,
mip_profiled,1,5,0.0025,0.5555555555555556,0.5714285714285714,8,1,0.330861016176641,0.0008231271058320999,0.0,ok,
mip_profiled,1,5,0.005,0.14285714285714285,0.7142857142857143,3,1,0.3292834209278226,0.0007822760380804539,0.0,ok,
mip_profiled,1,5,0.01,0.14285714285714285,0.7142857142857143,3,1,0.3278682203963399,0.0007625543512403965,0.0,ok,
mip_profiled,1,5,0.02,0.14285714285714285,0.7142857142857143,3,1,0.32089163083583117,0.0007687797769904137,0.0,ok,
mip_profiled,1,5,0.04,0.14285714285714285,0.7142857142857143,3,1,0.3114093863405287,0.000769635196775198,0.0,ok,
mip_profiled,1,5,0.08,0.2,0.4285714285714286,5,1,0.29855097737163305,0.0007677157409489155,0.0,ok,
mip_profiled,1,5,0.1,0.2,0.5714285714285714,4,1,0.29459658497944474,0.0007781321182847023,0.0,ok,
mip_profiled,1,5,0.16,0.2,0.5714285714285714,4,2,0.2930574221536517,0.0007579764351248741,0.0,ok,
mip_profiled,1,5,0.32,0.5,0.1428571428571429,8,4,0.2919312370941043,0.0007373779080808163,0.0,ok,
mip_profiled,1,5,0.64,0.5,0.1428571428571429,8,5,0.29055745899677277,0.0007240814156830311,0.0,ok,
mip_profiled,1,5,1.28,0.0,0.0,8,8,0.2924001840874553,0.0008325339294970036,0.0,ok,
gnies,1,5,0.005,0.8809523809523809,0.5714285714285714,40,2,26.240093709900975,0.001305541954934597,,ok,
gnies,1,5,0.01,0.8717948717948718,0.5714285714285714,37,2,24.44608661485836,0.001273461151868105,,ok,
gnies,1,5,0.03,0.8611111111111112,0.5714285714285714,34,6,13.327775187790394,0.000983193051069975,,ok,
gnies,1,5,0.1,0.8529411764705882,0.5714285714285714,32,2,19.701818011701107,0.0011865980923175812,,ok,
gnies,1,5,0.3,0.8148148148148148,0.5714285714285714,25,6,9.020071303006262,0.0009331349283456802,,ok,
gnies,1,5,1,0.6666666666666666,0.5714285714285714,13,7,2.0531209390610456,0.0010370411910116673,,ok,
gnies,1,5,3,0.4444444444444444,0.7142857142857143,6,8,1.111781437881291,0.0007874020375311375,,ok,
gnies,1,5,6,0.14285714285714285,1.0,1,8,1.105068069882691,0.0008011022582650185,,ok,
gnies,1,5,10,0.14285714285714285,1.0,1,8,0.9403945258818567,0.0008495948277413845,,ok,
gnies,1,5,30,0.4,0.5714285714285714,4,8,0.6287206159904599,0.0008498989045619965,,ok,
gnies,1,5,100,0.6666666666666666,0.2857142857142857,6,8,0.4451556820422411,0.0008020587265491486,,ok,
gnies,1,5,300,0.0,0.0,8,8,0.14199159014970064,0.0005834251642227173,,ok,
mip_profiled,2,5,0.001,0.42857142857142855,0.9411764705882353,13,0,2.5384593727067113,0.0014915261417627335,0.0,ok,
mip_profiled,2,5,0.0025,0.3333333333333333,0.9411764705882353,9,0,2.3875468228943646,0.0014328439719974995,0.0,ok,
mip_profiled,2,5,0.005,0.25,0.8823529411764706,7,0,1.8364723077975214,0.0013649621978402138,0.0,ok,
mip_profiled,2,5,0.01,0.21052631578947367,0.8823529411764706,6,0,1.8114144089631736,0.0013509602285921574,0.0,ok,
mip_profiled,2,5,0.02,0.11764705882352941,0.8823529411764706,4,0,1.7572564487345517,0.0013339780271053314,0.0,ok,
mip_profiled,2,5,0.04,0.058823529411764705,0.9411764705882353,2,1,1.7152294437400997,0.0013256734237074852,0.0,ok,
mip_profiled,2,5,0.08,0.058823529411764705,0.9411764705882353,2,2,1.6772533738985658,0.0013029598630964756,0.0,ok,
mip_profiled,2,5,0.1,0.11764705882352941,0.8823529411764706,4,2,1.665499561931938,0.0013086497783660889,0.0,ok,
mip_profiled,2,5,0.16,0.23076923076923078,0.5882352941176471,10,4,1.66316351108253,0.0012922780588269234,0.0,ok,
mip_profiled,2,5,0.32,0.14285714285714285,0.3529411764705882,12,10,1.6544463853351772,0.0012257187627255917,0.0,ok,
mip_profiled,2,5,0.64,0.25,0.17647058823529416,15,12,1.6486533279530704,0.0011549540795385838,0.0,ok,
mip_profiled,2,5,1.28,0.0,0.0,17,18,1.647678324021399,0.000995822250843048,0.0,ok,
gnies,2,5,3,0.7142857142857143,0.47058823529411764,31,15,33.58280073013157,0.001812438014894724,,ok,
gnies,2,5,5,0.5714285714285714,0.5294117647058824,21,16,21.270149796269834,0.0016707712784409523,,ok,
gnies,2,5,7,0.3888888888888889,1.0,8,19,10.711160603910685,0.00285150995478034,,ok,
gnies,2,5,10,0.3888888888888889,1.0,8,19,10.194396666251123,0.002824573777616024,,ok,
gnies,2,5,15,0.35294117647058826,1.0,7,19,9.797136790119112,0.0027784667909145355,,ok,
gnies,2,5,20,0.35294117647058826,1.0,7,19,9.457021086011082,0.0030197142623364925,,ok,
gnies,2,5,30,0.375,0.9411764705882353,8,19,8.38297050492838,0.0027151708491146564,,ok,
gnies,2,5,50,0.6153846153846154,0.7647058823529411,13,19,7.114906966686249,0.005383174866437912,,ok,
gnies,2,5,75,0.6,0.5882352941176471,15,19,5.503555630799383,0.003715934231877327,,ok,
gnies,2,5,100,0.75,0.47058823529411764,15,19,4.676087382715195,0.0026798401959240437,,ok,
gnies,2,5,200,0.75,0.23529411764705888,17,19,2.8756755301728845,0.0013452768325805664,,ok,
gnies,2,5,300,0.0,0.0,17,19,1.061569798272103,0.0010025282390415668,,ok,
mip_profiled,3,5,0.001,0.6172839506172839,0.8571428571428572,55,5,1575.8858584710397,0.0046668811701238155,9.885946137543948e-05,ok,
mip_profiled,3,5,0.0025,0.5753424657534246,0.8571428571428572,47,5,552.4890113710426,0.004518209025263786,3.616578325504519e-05,ok,
mip_profiled,3,5,0.005,0.4576271186440678,0.8857142857142857,31,5,563.0903730229475,0.004473390989005566,5.392597641597384e-05,ok,
mip_profiled,3,5,0.01,0.225,0.8857142857142857,13,5,194.89048000285402,0.004279793240129948,5.950339781864953e-05,ok,
mip_profiled,3,5,0.02,0.08571428571428572,0.8857142857142857,7,2,101.1713223089464,0.004175401758402586,9.330591847103198e-10,ok,
mip_profiled,3,5,0.04,0.02857142857142857,0.9428571428571428,3,1,47.18374567013234,0.004194093402475119,0.0,ok,
mip_profiled,3,5,0.08,0.0,0.9428571428571428,2,3,35.64240983501077,0.004113953094929457,0.0,ok,
mip_profiled,3,5,0.1,0.0,0.9428571428571428,2,4,35.35895892418921,0.003890929277986288,0.0,ok,
mip_profiled,3,5,0.16,0.03125,0.8857142857142857,5,10,35.102462525013834,0.004124377854168415,0.0,ok,
mip_profiled,3,5,0.32,0.15789473684210525,0.48571428571428577,21,16,34.86688678059727,0.003815616946667433,0.0,ok,
mip_profiled,3,5,0.64,0.2,0.11428571428571432,33,26,34.33180140610784,0.0035921381786465645,6.0402518578522364e-05,ok,
mip_profiled,3,5,1.28,0.0,0.0,36,38,34.496912754606456,0.0031638373620808125,0.0,ok,
