method,graph,penalty,target_penalty,trials,fdp_mean,fdp_std,tdp_mean,tdp_std,fit_seconds_mean,fit_seconds_median,metric_seconds_mean,mip_gap_max
gnies,1,0.005,,10,0.9044644041595262,0.011230532433046756,0.42857142857142855,0.06734350297014738,23.683531112549826,25.890977727482095,0.00118556986562901,
gnies,1,0.01,,10,0.9034413831782253,0.013696993338847576,0.4142857142857143,0.08109231602822095,22.109451348194852,24.339889854425564,0.00117733152583236,
gnies,1,0.03,,10,0.89053204203359,0.019080048582946152,0.42857142857142855,0.09523809523809523,18.295335735986008,19.25403599208221,0.00108488104306155,
gnies,1,0.1,,10,0.8748488781024932,0.020818191125489372,0.42857142857142855,0.09523809523809523,15.634488698793575,15.546966748079285,0.0010587417520582,
gnies,1,0.3,,10,0.8288138841060801,0.036299501235889216,0.4428571428571429,0.08109231602822094,8.526599101349712,9.217952400911598,0.00087855458259577,
gnies,1,1.0,,10,0.7168088773971126,0.06078980247100914,0.45714285714285713,0.06023386019368338,3.2398168868385255,2.8543416105676442,0.00081012165173883,
gnies,1,3.0,,10,0.47919191919191917,0.1327171337479399,0.6571428571428571,0.15356681425330573,1.2517555904574693,1.190986038884148,0.00078814108856017,
gnies,1,6.0,,10,0.1928571428571428,0.06563832739090585,0.9142857142857143,0.12046772038736682,0.9060056294314563,0.8888259376399219,0.00075723608024413,
gnies,1,10.0,,10,0.2047619047619047,0.07027283689263067,0.8142857142857143,0.13552618543578768,0.8041941267903894,0.8338062351103872,0.00072391070425506,
gnies,1,30.0,,10,0.35333333333333333,0.09838197164968296,0.6,0.060233860193683424,0.5783917557448148,0.614729552064091,0.00077499118633564,
gnies,2,3.0,,10,0.660995938843765,0.03549078282105971,0.5117647058823529,0.028414464208214606,29.804752154974267,32.59231872833334,0.00163489016704258,
gnies,2,5.0,,10,0.5166037983045656,0.09806356515483827,0.6647058823529411,0.1961764460906786,16.91991176046431,16.101745442021638,0.00179461655206972,
gnies,2,7.0,,10,0.36732026143790847,0.018563318870710947,0.9705882352941175,0.04999038738816457,10.678887217259035,11.159330340102315,0.00236390577629203,
gnies,2,10.0,,10,0.3601307189542483,0.015156886388606622,0.9882352941176471,0.03720326659021624,9.952778069581836,10.661281174747273,0.00252079409547145,
gnies,2,15.0,,10,0.35653594771241826,0.01136766479145497,0.9882352941176471,0.03720326659021624,9.34371787654236,9.913681668229401,0.00255994293838735,
gnies,2,20.0,,10,0.3529411764705882,0.0,1.0,0.0,8.83401986709796,9.433686224976555,0.00261549521237606,
gnies,2,30.0,,10,0.3639705882352941,0.011626020809442588,0.9705882352941175,0.031002722158513588,8.021559465304017,8.228369472315535,0.00257817767560477,
gnies,2,50.0,,10,0.42107142857142854,0.074523202746648,0.8294117647058823,0.0704246470434038,6.788010615855455,7.104304890846834,0.00262477719224983,
gnies,2,75.0,,10,0.6207575757575757,0.06547780637935435,0.5823529411764705,0.051505590339465494,5.007226589648053,4.979666179977357,0.00320591982454057,
gnies,2,100.0,,10,0.7111904761904762,0.051508486802157395,0.48235294117647054,0.05405509314545186,4.3316706051584335,4.429614258231595,0.00246012397110455,
gnies,2,200.0,,10,0.75,0.060858061945018485,0.24705882352941172,0.05405509314545184,2.782037656381726,2.7534065095242113,0.0013249630574136602,
gnies,3,10.0,,10,0.4563020510388931,0.05294182330864032,0.7857142857142858,0.04096345365258396,290.65157550275325,296.9638200791087,0.4380334292072803,
gnies,3,20.0,,10,0.32745098039215687,0.01679115369760147,0.9171428571428573,0.02108185106778918,198.1365458543878,211.48527343315072,0.11744745457544918,
gnies,3,30.0,,10,0.33226381461675575,0.01648131936694135,0.9085714285714286,0.012046772038736737,188.2343229488004,204.73791526444256,0.12589990743435914,
gnies,3,40.0,,10,0.328158422459893,0.020934211238962674,0.8971428571428571,0.014754222271266404,179.6009043344762,192.05163459503092,0.12077872003428633,
gnies,3,60.0,,10,0.3249731182795699,0.02626621739064534,0.8657142857142857,0.019284244506015787,162.61434349780902,176.46488238452002,0.1178612267132848,
gnies,3,80.0,,10,0.3949225460529808,0.04740531079621665,0.7142857142857143,0.04856209060564562,131.72801310266368,139.57863052072935,0.10421866131946442,
