method,graph,trial,penalty,fdp,tdp,d_cpdag,union_target_error,fit_seconds,metric_seconds,mip_gap,status,error
utigsp,1,2,0.001,0.2857142857142857,0.7142857142857143,4,5,0.05763458786532283,0.0005405088886618614,,ok,
utigsp,1,2,0.01,0.2857142857142857,0.7142857142857143,4,6,0.06418401096016169,0.0005781440995633602,,ok,
utigsp,1,2,0.1,0.5714285714285714,0.7142857142857143,10,4,0.13605384109541774,0.0006178491748869419,,ok,
utigsp,1,2,0.2,0.6666666666666666,0.8571428571428572,15,3,0.10091088572517037,0.0006818841211497784,,ok,
utigsp,1,2,1e-05,0.2857142857142857,0.7142857142857143,4,6,0.05856838496401906,0.0005563739687204361,,ok,
utigsp,1,2,1e-07,0.5714285714285714,0.8571428571428572,4,7,0.07355737965553999,0.0008424250409007072,,ok,
utigsp,1,2,1e-09,0.6666666666666666,0.7142857142857143,6,8,0.08189768716692924,0.0008120606653392315,,ok,
utigsp,2,2,0.001,0.23529411764705882,0.8235294117647058,7,6,0.19368825666606426,0.0010236757807433605,,ok,
utigsp,2,2,0.01,0.5217391304347826,0.7647058823529411,16,5,0.20872342679649591,0.0012107379734516144,,ok,
utigsp,2,2,0.1,0.8596491228070176,0.47058823529411764,59,3,0.2265360220335424,0.0013241022825241089,,ok,
utigsp,2,2,0.2,0.8860759493670886,0.5294117647058824,78,1,0.33632199885323644,0.001377086155116558,,ok,
utigsp,2,2,1e-05,0.35294117647058826,0.7058823529411764,13,11,0.22699340200051665,0.0011249613016843796,,ok,
utigsp,2,2,1e-07,0.4,0.7058823529411764,11,12,0.20682738069444895,0.0011688517406582832,,ok,
utigsp,2,2,1e-09,0.4,0.7058823529411764,11,13,0.17735995911061764,0.0011321562342345715,,ok,
utigsp,3,2,0.001,0.2777777777777778,0.7714285714285715,18,9,1.3417909094132483,0.003289691172540188,,ok,
utigsp,3,2,0.01,0.4642857142857143,0.8285714285714285,32,7,1.6241071918047965,0.0033244891092181206,,ok,
utigsp,3,2,0.1,0.9265734265734266,0.5714285714285714,280,10,0.9675401491113007,0.005011129193007946,,ok,
utigsp,3,2,0.2,0.9692898272552783,0.4285714285714286,525,10,1.507846959400922,0.008015158120542765,,ok,
utigsp,3,2,1e-05,0.2,0.8571428571428572,11,12,4.197652502916753,0.003610021434724331,,ok,
utigsp,3,2,1e-07,0.47058823529411764,0.6,30,14,3.6946926307864487,0.00401194766163826,,ok,
utigsp,3,2,1e-09,0.36363636363636365,0.6857142857142857,23,16,3.1142001491971314,0.0035529029555618763,,ok,
